LAMMPS data file via write_data, version 28 Oct 2021, timestep = 3000000

5214 atoms
8 atom types

-9.525278051358015 9.525278051358015 xlo xhi
-9.525278051358015 9.525278051358015 ylo yhi
-9.525278051358015 9.525278051358015 zlo zhi

Masses

1 1
2 1
3 1
4 1
5 1
6 1
7 1
8 1

PairIJ Coeffs # lj/cut/coul/long

1 1 1 1 2.5
1 2 1 1 2.5
1 3 1 1 2.5
1 4 1 1 2.5
1 5 1 1 2.5
1 6 0 0 2.5
1 7 0 0 2.5
1 8 0 0 2.5
2 2 1 1 2.5
2 3 1 1 2.5
2 4 1 1 2.5
2 5 1 1 2.5
2 6 0 0 2.5
2 7 0 0 2.5
2 8 0 0 2.5
3 3 1 1 2.5
3 4 1 1 2.5
3 5 1 1 2.5
3 6 0 0 2.5
3 7 0 0 2.5
3 8 0 0 2.5
4 4 0 0 2.5
4 5 0 0 2.5
4 6 0 0 2.5
4 7 0 0 2.5
4 8 0 0 2.5
5 5 0 0 2.5
5 6 0 0 2.5
5 7 0 0 2.5
5 8 0 0 2.5
6 6 0 0 2.5
6 7 0 0 2.5
6 8 0 0 2.5
7 7 0 0 2.5
7 8 0 0 2.5
8 8 0 0 2.5

Atoms # charge

4 1 0 -7.6377872787241206 -7.433622177820965 -9.151636892775505 -19 -21 -28
6 1 0 -8.079871168908257 -7.998265043952057 -8.406368774349334 3 -1 -3
7 1 0 -7.441488910519963 -8.612983674098086 -9.113130816367482 15 -13 -33
528 1 0 -8.008125532802302 -9.036680124836034 -8.2992716765203 3 -4 -2
524 1 0 -9.073265187482981 -8.899820061910905 -8.232252263760174 -27 -25 -16
2 1 0 -9.4715348312176 -7.963388468515755 -8.631189722989166 9 -7 -36
593 1 0 -8.04701593219154 -8.496976077613143 -7.452802850011258 4 -22 -41
3 1 0 -8.522071665610214 -8.540134571130823 -9.237926588383571 0 -1 -5
16 1 0 -5.899418473800451 -8.901993575806472 -7.965223154187366 7 -64 -70
14 1 0 -5.687794999378938 -8.490534868928481 -9.09484613699964 17 -10 -30
599 1 0 -7.245636661258579 -9.409369423559335 -7.436924559422889 -3 -23 -49
5 1 0 -6.9631509043211945 -7.894756201225502 -8.503412666717104 0 3 1
11 1 0 -6.997195837478801 -9.338305757505701 -8.516472322953526 22 -11 -22
13 1 0 -6.457830799761529 -9.100679106890496 -9.34065428542962 2 -19 -34
21 1 0 -4.706061042754552 -7.479571552845873 -8.656234605164755 -19 -31 -35
