LAMMPS data file via write_data, version 28 Oct 2021, timestep = 200

5204 atoms
8 atom types

-9.525278051358015 9.525278051358015 xlo xhi
-9.525278051358015 9.525278051358015 ylo yhi
-9.525278051358015 9.525278051358015 zlo zhi

Masses

1 1
2 1
3 1
4 1
5 1
6 1
7 1
8 1

PairIJ Coeffs # lj/cut/coul/long

1 1 1 1 2.5
1 2 1 1 2.5
1 3 1 1 2.5
1 4 1 1 2.5
1 5 1 1 2.5
1 6 1 1 2.5
1 7 1 1 2.5
1 8 1 1 2.5
2 2 1 1 2.5
2 3 1 1 2.5
2 4 1 1 2.5
2 5 1 1 2.5
2 6 1 1 2.5
2 7 1 1 2.5
2 8 1 1 2.5
3 3 1 1 2.5
3 4 1 1 2.5
3 5 1 1 2.5
3 6 1 1 2.5
3 7 1 1 2.5
3 8 1 1 2.5
4 4 0 0 2.5
4 5 0 0 2.5
4 6 1 1 2.5
4 7 1 1 2.5
4 8 1 1 2.5
5 5 0 0 2.5
5 6 1 1 2.5
5 7 1 1 2.5
5 8 1 1 2.5
6 6 1 1 2.5
6 7 1 1 2.5
6 8 1 1 2.5
7 7 1 1 2.5
7 8 1 1 2.5
8 8 1 1 2.5

Atoms # charge

4 1 0 -8.367547812007574 -8.393129177705351 -7.859658675651145 16 -10 -23
1 1 0 -9.473795271538412 -8.226667851953966 -7.9929507122215995 0 2 -2
5 1 0 -8.207001118383598 -9.429329042686259 -7.881500271933734 -122 -37 -77
7 1 0 -7.479233303427181 -8.106140497061812 -8.629839793307797 4 -20 -34
3 1 0 -8.867954618080097 -7.987603904658665 -8.962699368957878 12 -19 -29
2 1 0 -9.18775416491578 -9.063090439530198 -8.72250316955676 4 6 -2
6 1 0 -7.970682607078499 -8.886850761694358 -9.029420079932853 12 4 -19
12 1 0 -6.217513954014046 -8.757904601149209 -8.353995322894978 3 5 -5
9 1 0 -6.64734183703297 -8.282844280526389 -9.420000274210379 11 -8 -25
11 1 0 -6.638769121665824 -7.502767757813695 -8.467378900853518 -4 -16 -38
13 1 0 -5.725781455318674 -7.47540087831251 -7.7033813286866035 7 -8 -44
8 1 0 -7.283158908287739 -9.180341463581502 -8.210871633031436 2 3 -3
10 1 0 -6.638826703006889 -7.703810561149522 -7.412153013861587 25 -55 -64
16 1 0 -4.529219807778613 -9.04479060488843 -7.570284694875754 18 6 -14
21 1 0 -3.219112739691613 -8.235095930793078 -8.881030310125553 1 1 0
19 1 0 -3.7228114257269422 -9.046085170100781 -8.25226460601225 14 -13 -35
18 1 0 -4.244206528606095 -8.164691088096214 -7.933242200215084 5 1 -4
14 1 0 -5.230048266644449 -7.937835794038787 -8.608675114282633 4 7 -1
17 1 0 -4.333901099077558 -8.178133651125538 -9.076017044393627 -5 -32 -28
20 1 0 -3.288459567330328 -7.850798131753633 -7.836308184440085 8 -4 -9
15 1 0 -5.034642286248978 -8.98728505748477 -8.4586605744601 17 -12 -30
69 1 0 -8.38384817744248 -6.562808755773634 -8.708133717657843 -7 -32 -17
67 1 0 -9.23071204581123 -6.935349256205655 -9.229059710463018 13 1 -8
70 1 0 -8.376805618198887 -6.968320932921986 -7.8482738790296835 12 -1 -7
68 1 0 -8.83017475282044 -6.130882082287117 -7.432564962708739 -15 -81 -69
66 1 0 -9.46207395867528 -6.065036616064695 -8.789642491989783 13 -87 -63
73 1 0 -7.43931893006033 -7.2425099635437205 -9.166281099903191 18 -13 -28
72 1 0 -8.008637562193831 -5.90561837909656 -8.025283185513752 22 -9 -22
71 1 0 -8.220929235731244 -5.617909848744897 -9.185804247582995 20 -6 -13
79 1 0 -5.821927048546023 -7.303103929250334 -9.420340730744359 19 -7 -19
76 1 0 -6.547153082643852 -6.406970229589677 -7.740567484285329 -80 -96 -68
74 1 0 -7.402362967317228 -6.716682398762257 -8.32062143451176 0 4 -3
78 1 0 -5.850165269897743 -6.764559696463882 -8.501532916334776 4 3 -3
75 1 0 -6.843617392356931 -6.169870642220993 -8.93129031597017 5 5 -8
81 1 0 -5.318627511722307 -5.823045881769608 -8.115024142886474 16 -13 -29
80 1 0 -5.406776816701792 -6.069658178290042 -9.065927284938237 -98 -79 -46
