LAMMPS data file via write_data, version 28 Oct 2021, timestep = 1800

5214 atoms
8 atom types

-9.525278051358015 9.525278051358015 xlo xhi
-9.525278051358015 9.525278051358015 ylo yhi
-9.525278051358015 9.525278051358015 zlo zhi

Masses

1 1
2 1
3 1
4 1
5 1
6 1
7 1
8 1

PairIJ Coeffs # lj/cut/coul/long

1 1 1 1 2.5
1 2 1 1 2.5
1 3 1 1 2.5
1 4 1 1 2.5
1 5 1 1 2.5
1 6 0 0 2.5
1 7 0 0 2.5
1 8 0 0 2.5
2 2 1 1 2.5
2 3 1 1 2.5
2 4 1 1 2.5
2 5 1 1 2.5
2 6 0 0 2.5
2 7 0 0 2.5
2 8 0 0 2.5
3 3 1 1 2.5
3 4 1 1 2.5
3 5 1 1 2.5
3 6 0 0 2.5
3 7 0 0 2.5
3 8 0 0 2.5
4 4 0 0 2.5
4 5 0 0 2.5
4 6 0 0 2.5
4 7 0 0 2.5
4 8 0 0 2.5
5 5 0 0 2.5
5 6 0 0 2.5
5 7 0 0 2.5
5 8 0 0 2.5
6 6 0 0 2.5
6 7 0 0 2.5
6 8 0 0 2.5
7 7 0 0 2.5
7 8 0 0 2.5
8 8 0 0 2.5

Atoms # charge

3 1 0 -8.243740146236062 -9.397666649322304 -9.12387384328957 16 -2 -23
5213 1 0 -9.374475065603178 -9.180891674704943 -9.305430254664714 9 -7 -36
1 1 0 -8.521401750298665 -8.499274380658473 -8.387387333960415 0 -1 -5
5 1 0 -7.690581961658185 -8.998138095097223 -8.187830860680084 23 -19 -35
63 1 0 -8.95109023469117 -9.229823139092606 -7.901407701022587 -56 -122 -28
7 1 0 -7.1125140307454044 -8.170376471268359 -8.59374830096295 7 -64 -70
10 1 0 -6.0391372790861695 -8.184148996933414 -8.959852514785347 -8 -33 -47
8 1 0 -6.721797507629434 -9.27058780052422 -8.750534024473128 10 -47 -49
670 1 0 -6.317274919529919 -8.232813140935956 -7.6367242099820265 23 -12 -31
12 1 0 -5.289905245691542 -8.793452321997375 -8.200659349607246 0 2 0
17 1 0 -4.131230430556817 -8.660459198593976 -8.256752076708084 12 -9 -14
82 1 0 -5.08975976075678 -7.8303803464680914 -8.56190530279592 -19 -31 -35
4660 1 0 -4.2523663326965195 -8.260872057138206 -9.120082760279905 -1 -16 -38
680 1 0 -4.549366790669703 -7.987623935286063 -7.765660855244262 14 -1 -19
541 1 0 -4.981440625346635 -9.192904799762385 -9.218333939927621 0 0 1
21 1 0 -3.2351176174957663 -8.746347660162053 -8.901729591115428 4 -3 -8
19 1 0 -3.1801344046656648 -8.746447874061248 -7.797670032312604 -1 -8 -50
23 1 0 -2.0140376856297832 -7.663727165936967 -8.642784011678742 0 1 0
617 1 0 -2.531373982635299 -7.948176686244213 -7.869545070811077 -7 -22 -35
26 1 0 -2.0354252317441786 -8.636019118283501 -8.457268655227429 17 -5 -25
34 3 -1 -0.17450356092624994 -8.755167182234098 -8.71559751314426 1 2 -1
24 1 0 -0.9285811674993101 -8.958508155578661 -7.913942313130791 -5 -21 -27
29 1 0 -1.1973572592994361 -8.65312146869979 -9.0896542136388 20 -12 -11
71 1 0 -8.497900601752592 -6.622796635499026 -9.317839575651073 16 -8 -10
125 1 0 -9.23712135682996 -6.446853221845971 -8.655178270321851 -62 -87 -48
66 1 0 -8.93323210663703 -7.608685833396682 -8.82153139077744 15 -11 -31
64 1 0 -7.964277060664736 -6.081672243423521 -8.343480985151727 24 -14 -36
4 1 0 -7.987167159610948 -7.5039642476765716 -8.513722167535123 8 -2 -10
659 1 0 -9.335216332428773 -7.555131167532834 -7.7424269222953 17 -18 -35
68 1 0 -6.990824686737706 -6.433188628192454 -8.184193739936736 0 3 1
73 1 0 -6.637833503168287 -7.091229990942543 -8.817091601088741 22 -11 -22
77 1 0 -5.8196659568017814 -7.184948192068209 -8.094576798025999 -5 -29 -43
4708 1 0 -7.568909026481542 -7.088026493805129 -9.390886678316622 -19 -21 -28
75 1 0 -6.029328427816368 -6.143809990398622 -8.64970495634463 9 -1 -17
72 1 0 -7.115312460943805 -7.418744052139076 -7.829279582874426 -2 1 1
74 1 0 -7.101505945990892 -5.976092491278013 -9.06362541424831 -68 -104 -20
80 1 0 -4.345115467166328 -7.117623400001536 -8.439231341858733 -9 -27 -38
142 1 0 -4.541023871143286 -5.90959855124223 -8.346379698948855 13 -16 -50
76 1 0 -5.441864368847225 -7.0016550459369045 -8.995844371601393 0 -18 -51
16 1 0 -4.516454476678376 -6.848277705320806 -9.447715883990819 12 -16 -32
79 1 0 -5.256681850502965 -5.755161401638413 -9.290649708745727 8 -4 -5
89 1 0 -2.183989628698251 -6.543698419935446 -8.534910876704112 -1 -12 -45
85 1 0 -3.4746771519759845 -7.381437921435776 -9.071267217251577 14 -13 -27
20 1 0 -3.1877813030697566 -6.999866822603694 -8.08937441716778 -110 -68 -67
28 1 0 -1.0018532816130834 -7.612439287382129 -9.144682144458697 -10 -25 -42
96 1 0 -0.6212171539786747 -6.069048453494183 -8.315527046507327 2 -4 -3
90 1 0 -1.457903947109598 -5.783809240395845 -7.965703185161215 -8 -5 -28
30 1 0 -0.7162649754154415 -7.002170322126866 -8.078175815079657 0 4 -2
31 1 0 -0.2712799939265914 -6.702020648784323 -9.05803693177172 -83 -59 -20
94 1 0 -1.3375266093379363 -6.670402998242461 -9.138960298864532 7 -85 -66
4727 1 0 -0.7158629610404784 -5.741322727535559 -9.25190570030418 8 -22 -46
133 1 0 -8.601328442691482 -4.372690074420047 -9.412756447213223 5 -4 -7
131 1 0 -8.434001506151645 -4.02105848459104 -7.944011611840983 12 -30 -26
70 1 0 -9.002535173963638 -5.535331856369096 -9.309230467169163 13 -16 -45
4774 1 0 -8.019623388892967 -5.191720179123909 -9.026758642400909 4 1 -5
132 1 0 -7.855849884930917 -5.144441869564571 -7.646471514867024 1 1 -3
128 1 0 -8.799284224902749 -5.088335128108931 -8.225999075726538 14 -6 -14
69 1 0 -6.957726158754081 -5.362827521618842 -8.126560576392288 -14 -18 -37
140 1 0 -6.354054241810268 -4.6968645936448 -8.66934746248279 5 0 -5
135 1 0 -7.40091258930868 -4.368919512274824 -8.235971693762453 11 -2 -9
4779 1 0 -5.783582838466119 -3.8321184660577106 -8.584070567473667 16 -9 -15
673 1 0 -5.447836975198725 -5.648382052706979 -7.6414158102616545 4 -32 -54
141 1 0 -5.417608170809746 -4.772822637782517 -8.492996300623256 -17 -23 -22
